"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","dni","miesiac","rok","tydz","numer"
"Lubuskie",6,0.59,0,0,5,83.3,2,33.3,"23-30","kwiecień","2022","16","4D"
"Łódzkie",17,0.49,0,0,17,100,0,0,"23-30","kwiecień","2022","16","4D"
"Małopolskie",66,0.87,1,1.5,54,81.8,12,18.2,"23-30","kwiecień","2022","16","4D"
"Mazowieckie",30,0.25,2,6.7,27,90,1,3.3,"23-30","kwiecień","2022","16","4D"
"Opolskie",2,0.11,0,0,2,100,0,0,"23-30","kwiecień","2022","16","4D"
"Podkarpackie",22,1.9,0,0,22,100,0,0,"23-30","kwiecień","2022","16","4D"
"Podlaskie",4,0.35,0,0,4,100,0,0,"23-30","kwiecień","2022","16","4D"
"Pomorskie",95,0.55,0,0,87,91.6,8,8.4,"23-30","kwiecień","2022","16","4D"
"Śląskie",44,0.49,0,0,39,88.6,9,20.5,"23-30","kwiecień","2022","16","4D"
"Świętokrzyskie",27,1.78,0,0,24,88.9,3,11.1,"23-30","kwiecień","2022","16","4D"
"Warmińsko-Mazurskie",28,1.37,0,0,28,100,0,0,"23-30","kwiecień","2022","16","4D"
"Wielkopolskie",108,0.74,0,0,106,98.1,5,4.6,"23-30","kwiecień","2022","16","4D"
"Zachodniopomorskie",15,1.03,0,0,14,93.3,5,33.3,"23-30","kwiecień","2022","16","4D"
"Dolnośląskie",38,0.85,2,5.3,32,84.2,4,10.5,"1-7","maj","2022","17","5A"
"Kujawsko-Pomorskie",23,0.51,1,4.3,22,95.7,3,13,"1-7","maj","2022","17","5A"
"Lubelskie",3,0.12,0,0,3,100,0,0,"1-7","maj","2022","17","5A"
"Lubuskie",8,0.86,0,0,8,100,1,12.5,"1-7","maj","2022","17","5A"
"Łódzkie",33,0.75,0,0,33,100,0,0,"1-7","maj","2022","17","5A"
"Małopolskie",45,0.63,0,0,34,75.6,12,26.7,"1-7","maj","2022","17","5A"
"Mazowieckie",31,0.15,1,3.2,30,96.8,0,0,"1-7","maj","2022","17","5A"
"Opolskie",4,0.46,0,0,4,100,0,0,"1-7","maj","2022","17","5A"
"Podkarpackie",17,1.73,0,0,17,100,0,0,"1-7","maj","2022","17","5A"
"Podlaskie",12,1.08,0,0,11,91.7,1,8.3,"1-7","maj","2022","17","5A"
"Pomorskie",38,0.2,1,2.6,34,89.5,3,7.9,"1-7","maj","2022","17","5A"
"Śląskie",36,0.46,0,0,34,94.4,4,11.1,"1-7","maj","2022","17","5A"
"Świętokrzyskie",16,0.39,0,0,14,87.5,2,12.5,"1-7","maj","2022","17","5A"
"Warmińsko-Mazurskie",23,1.66,0,0,23,100,0,0,"1-7","maj","2022","17","5A"
"Wielkopolskie",79,0.69,0,0,76,96.2,3,3.8,"1-7","maj","2022","17","5A"
"Zachodniopomorskie",17,1.12,5.9,0,16,94.1,4,23.5,"1-7","maj","2022","17","5A"
"Dolnośląskie",37,1.27,0,0,32,86.5,5,13.5,"8-15","maj","2022","18","5B"
"Kujawsko-Pomorskie",33,0.71,1,3,28,84.8,7,21.2,"8-15","maj","2022","18","5B"
"Lubelskie",8,0.3,0,0,7,87.5,1,12.5,"8-15","maj","2022","18","5B"
"Lubuskie",14,1.82,0,0,14,100,4,28.6,"8-15","maj","2022","18","5B"
"Łódzkie",17,0.78,0,0,17,100,0,0,"8-15","maj","2022","18","5B"
"Małopolskie",82,1.24,0,0,77,93.9,6,7.3,"8-15","maj","2022","18","5B"
"Mazowieckie",26,0.2,0,0,18,69.2,8,30.8,"8-15","maj","2022","18","5B"
"Opolskie",2,0.17,0,0,2,100,0,0,"8-15","maj","2022","18","5B"
"Podkarpackie",29,2.69,0,0,28,96.6,1,3.4,"8-15","maj","2022","18","5B"
"Podlaskie",4,0.35,0,0,4,100,0,0,"8-15","maj","2022","18","5B"
"Pomorskie",61,0.35,0,0,53,86.9,8,13.1,"8-15","maj","2022","18","5B"
"Śląskie",30,0.43,0,0,24,80,6,20,"8-15","maj","2022","18","5B"
"Świętokrzyskie",32,1.79,0,0,29,90.6,3,9.4,"8-15","maj","2022","18","5B"
"Warmińsko-Mazurskie",11,0.72,0,0,11,100,0,0,"8-15","maj","2022","18","5B"
"Wielkopolskie",84,0.71,0,0,84,100,0,0,"8-15","maj","2022","18","5B"
"Zachodniopomorskie",30,2.25,0,0,29,96.7,4,13.3,"8-15","maj","2022","18","5B"
"Dolnośląskie",76,2.23,0,0,59,77.6,18,23.7,"16-22","maj","2022","19","5C"
"Kujawsko-Pomorskie",34,0.77,0,0,34,100,6,17.6,"16-22","maj","2022","19","5C"
"Lubelskie",3,0.15,0,0,1,33.3,2,66.7,"16-22","maj","2022","19","5C"
