"woj","o_l","o_z","o_z_wsk","l_0_4","z_0_4","l_5_14","z_5_14","l_15_64","z_15_64","l_65","z_65","tydz","data"
"Wielkopolskie",29087,118.88,2.21,5832,436.91,7588,281.2,12974,79.17,2693,66.55,"2020_03A","1_do_7_marca_2020"
"Zachodniopomorskie",3870,32.55,8.42,688,127.35,854,72.08,1895,23.64,433,20.15,"2020_03A","1_do_7_marca_2020"
"Dolnośląskie",6160,26.55,-23.94,1144,103.98,1460,64.29,3011,19.44,545,12.56,"2020_03B","8_do_15_marca_2020"
"Kujawsko-Pomorskie",9429,56.81,-29.54,1586,201.05,2439,141.53,4678,41.79,726,25.12,"2020_03B","8_do_15_marca_2020"
"Lubelskie",5955,35.24,-40.08,864,109.88,1558,91.68,2882,25.46,651,21.06,"2020_03B","8_do_15_marca_2020"
"Lubuskie",2265,27.95,-14.1,469,121.58,673,78.81,1004,18.37,119,8.51,"2020_03B","8_do_15_marca_2020"
"Łódzkie",8299,42.17,-50.11,1318,146.08,1786,93.07,4041,31.18,1154,29.59,"2020_03B","8_do_15_marca_2020"
"Małopolskie",13372,49.09,-24.12,2857,193.77,3492,120.24,5986,32.74,1037,22.66,"2020_03B","8_do_15_marca_2020"
"Mazowieckie",22722,52.49,-12.06,3981,166.6,4953,105.48,11584,40.7,2204,28.46,"2020_03B","8_do_15_marca_2020"
"Opolskie",1743,22.13,-7.99,320,92.92,396,55.68,839,15.65,188,12.89,"2020_03B","8_do_15_marca_2020"
"Podkarpackie",4544,26.7,-26.15,781,93.98,1264,72.25,2095,18.05,404,14.25,"2020_03B","8_do_15_marca_2020"
"Podlaskie",4605,48.81,-28.08,835,182.98,1153,125.07,2042,31.89,575,34.77,"2020_03B","8_do_15_marca_2020"
"Pomorskie",23051,123.25,-75.56,4744,453.95,5456,261.18,11076,88.93,1775,57.02,"2020_03B","8_do_15_marca_2020"
"Śląskie",16295,45.02,-31.17,2968,174.74,4314,121.56,7767,32.21,1246,18.23,"2020_03B","8_do_15_marca_2020"
"Świętokrzyskie",5657,57.15,10.25,1128,266.91,1595,169.86,2506,37.85,428,22.33,"2020_03B","8_do_15_marca_2020"
