"woj","suma","w_0_4","w_5_14","w_15_64","w_65","dni","miesiac","rok","tydz","numer"
"Dolnośląskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Kujawsko-Pomorskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Lubelskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Lubuskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Łódzkie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Małopolskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Mazowieckie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Opolskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Podkarpackie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Podlaskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Pomorskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Śląskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Świętokrzyskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Warmińsko-Mazurskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Wielkopolskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Zachodniopomorskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Dolnośląskie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
"Kujawsko-Pomorskie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
"Lubelskie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
"Lubuskie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
"Łódzkie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
"Małopolskie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
"Mazowieckie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
"Opolskie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
"Podkarpackie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
"Podlaskie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
"Pomorskie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
"Śląskie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
"Świętokrzyskie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
"Warmińsko-Mazurskie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
"Wielkopolskie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
"Zachodniopomorskie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
"Dolnośląskie",0,0,0,0,0,"8-15","kwiecień",2010,14,"4B"
"Kujawsko-Pomorskie",0,0,0,0,0,"8-15","kwiecień",2010,14,"4B"
"Lubelskie",0,0,0,0,0,"8-15","kwiecień",2010,14,"4B"
"Lubuskie",0,0,0,0,0,"8-15","kwiecień",2010,14,"4B"
"Łódzkie",0,0,0,0,0,"8-15","kwiecień",2010,14,"4B"
"Małopolskie",0,0,0,0,0,"8-15","kwiecień",2010,14,"4B"
"Mazowieckie",0,0,0,0,0,"8-15","kwiecień",2010,14,"4B"
"Opolskie",0,0,0,0,0,"8-15","kwiecień",2010,14,"4B"
"Podkarpackie",0,0,0,0,0,"8-15","kwiecień",2010,14,"4B"
"Podlaskie",0,0,0,0,0,"8-15","kwiecień",2010,14,"4B"
"Pomorskie",0,0,0,0,0,"8-15","kwiecień",2010,14,"4B"
"Śląskie",0,0,0,0,0,"8-15","kwiecień",2010,14,"4B"
"Świętokrzyskie",0,0,0,0,0,"8-15","kwiecień",2010,14,"4B"
"Warmińsko-Mazurskie",0,0,0,0,0,"8-15","kwiecień",2010,14,"4B"
"Wielkopolskie",0,0,0,0,0,"8-15","kwiecień",2010,14,"4B"
"Zachodniopomorskie",0,0,0,0,0,"8-15","kwiecień",2010,14,"4B"
"Dolnośląskie",0,0,0,0,0,"16-22","kwiecień",2010,15,"4C"
"Kujawsko-Pomorskie",0,0,0,0,0,"16-22","kwiecień",2010,15,"4C"
"Lubelskie",0,0,0,0,0,"16-22","kwiecień",2010,15,"4C"
"Lubuskie",0,0,0,0,0,"16-22","kwiecień",2010,15,"4C"
"Łódzkie",0,0,0,0,0,"16-22","kwiecień",2010,15,"4C"
"Małopolskie",0,0,0,0,0,"16-22","kwiecień",2010,15,"4C"
"Mazowieckie",0,0,0,0,0,"16-22","kwiecień",2010,15,"4C"
"Opolskie",0,0,0,0,0,"16-22","kwiecień",2010,15,"4C"
"Podkarpackie",0,0,0,0,0,"16-22","kwiecień",2010,15,"4C"
"Podlaskie",0,0,0,0,0,"16-22","kwiecień",2010,15,"4C"
"Pomorskie",0,0,0,0,0,"16-22","kwiecień",2010,15,"4C"
"Śląskie",0,0,0,0,0,"16-22","kwiecień",2010,15,"4C"
"Świętokrzyskie",0,0,0,0,0,"16-22","kwiecień",2010,15,"4C"
"Warmińsko-Mazurskie",0,0,0,0,0,"16-22","kwiecień",2010,15,"4C"
"Wielkopolskie",0,0,0,0,0,"16-22","kwiecień",2010,15,"4C"
"Zachodniopomorskie",0,0,0,0,0,"16-22","kwiecień",2010,15,"4C"
"Dolnośląskie",0,0,0,0,0,"23-30","kwiecień",2010,16,"4D"
"Kujawsko-Pomorskie",0,0,0,0,0,"23-30","kwiecień",2010,16,"4D"
"Lubelskie",0,0,0,0,0,"23-30","kwiecień",2010,16,"4D"
"Lubuskie",0,0,0,0,0,"23-30","kwiecień",2010,16,"4D"
"Łódzkie",0,0,0,0,0,"23-30","kwiecień",2010,16,"4D"
"Małopolskie",0,0,0,0,0,"23-30","kwiecień",2010,16,"4D"
"Mazowieckie",0,0,0,0,0,"23-30","kwiecień",2010,16,"4D"
"Opolskie",0,0,0,0,0,"23-30","kwiecień",2010,16,"4D"
"Podkarpackie",0,0,0,0,0,"23-30","kwiecień",2010,16,"4D"
"Podlaskie",0,0,0,0,0,"23-30","kwiecień",2010,16,"4D"
"Pomorskie",0,0,0,0,0,"23-30","kwiecień",2010,16,"4D"
"Śląskie",0,0,0,0,0,"23-30","kwiecień",2010,16,"4D"
"Świętokrzyskie",0,0,0,0,0,"23-30","kwiecień",2010,16,"4D"
"Warmińsko-Mazurskie",0,0,0,0,0,"23-30","kwiecień",2010,16,"4D"
"Wielkopolskie",0,0,0,0,0,"23-30","kwiecień",2010,16,"4D"
"Zachodniopomorskie",0,0,0,0,0,"23-30","kwiecień",2010,16,"4D"
"Dolnośląskie",0,0,0,0,0,"1-7","maj",2010,17,"5A"
"Kujawsko-Pomorskie",0,0,0,0,0,"1-7","maj",2010,17,"5A"
"Lubelskie",0,0,0,0,0,"1-7","maj",2010,17,"5A"
"Lubuskie",0,0,0,0,0,"1-7","maj",2010,17,"5A"
"Łódzkie",0,0,0,0,0,"1-7","maj",2010,17,"5A"
"Małopolskie",0,0,0,0,0,"1-7","maj",2010,17,"5A"
"Mazowieckie",0,0,0,0,0,"1-7","maj",2010,17,"5A"
"Opolskie",0,0,0,0,0,"1-7","maj",2010,17,"5A"
"Podkarpackie",0,0,0,0,0,"1-7","maj",2010,17,"5A"
"Podlaskie",0,0,0,0,0,"1-7","maj",2010,17,"5A"
"Pomorskie",0,0,0,0,0,"1-7","maj",2010,17,"5A"
"Śląskie",0,0,0,0,0,"1-7","maj",2010,17,"5A"
"Świętokrzyskie",0,0,0,0,0,"1-7","maj",2010,17,"5A"
"Warmińsko-Mazurskie",0,0,0,0,0,"1-7","maj",2010,17,"5A"
"Wielkopolskie",0,0,0,0,0,"1-7","maj",2010,17,"5A"
"Zachodniopomorskie",0,0,0,0,0,"1-7","maj",2010,17,"5A"
"Dolnośląskie",0,0,0,0,0,"8-15","maj",2010,18,"5B"
"Kujawsko-Pomorskie",0,0,0,0,0,"8-15","maj",2010,18,"5B"
"Lubelskie",0,0,0,0,0,"8-15","maj",2010,18,"5B"
"Lubuskie",0,0,0,0,0,"8-15","maj",2010,18,"5B"
"Łódzkie",0,0,0,0,0,"8-15","maj",2010,18,"5B"
"Małopolskie",0,0,0,0,0,"8-15","maj",2010,18,"5B"
"Mazowieckie",0,0,0,0,0,"8-15","maj",2010,18,"5B"
"Opolskie",0,0,0,0,0,"8-15","maj",2010,18,"5B"
"Podkarpackie",0,0,0,0,0,"8-15","maj",2010,18,"5B"
"Podlaskie",0,0,0,0,0,"8-15","maj",2010,18,"5B"
"Pomorskie",0,0,0,0,0,"8-15","maj",2010,18,"5B"
"Śląskie",0,0,0,0,0,"8-15","maj",2010,18,"5B"
"Świętokrzyskie",0,0,0,0,0,"8-15","maj",2010,18,"5B"
"Warmińsko-Mazurskie",0,0,0,0,0,"8-15","maj",2010,18,"5B"
"Wielkopolskie",0,0,0,0,0,"8-15","maj",2010,18,"5B"
"Zachodniopomorskie",0,0,0,0,0,"8-15","maj",2010,18,"5B"
"Dolnośląskie",0,0,0,0,0,"16-22","maj",2010,19,"5C"
"Kujawsko-Pomorskie",0,0,0,0,0,"16-22","maj",2010,19,"5C"
"Lubelskie",0,0,0,0,0,"16-22","maj",2010,19,"5C"
"Lubuskie",0,0,0,0,0,"16-22","maj",2010,19,"5C"
"Łódzkie",0,0,0,0,0,"16-22","maj",2010,19,"5C"
"Małopolskie",0,0,0,0,0,"16-22","maj",2010,19,"5C"
"Mazowieckie",0,0,0,0,0,"16-22","maj",2010,19,"5C"
"Opolskie",0,0,0,0,0,"16-22","maj",2010,19,"5C"
"Podkarpackie",0,0,0,0,0,"16-22","maj",2010,19,"5C"
"Podlaskie",0,0,0,0,0,"16-22","maj",2010,19,"5C"
"Pomorskie",0,0,0,0,0,"16-22","maj",2010,19,"5C"
"Śląskie",0,0,0,0,0,"16-22","maj",2010,19,"5C"
"Świętokrzyskie",0,0,0,0,0,"16-22","maj",2010,19,"5C"
"Warmińsko-Mazurskie",0,0,0,0,0,"16-22","maj",2010,19,"5C"
"Wielkopolskie",0,0,0,0,0,"16-22","maj",2010,19,"5C"
"Zachodniopomorskie",0,0,0,0,0,"16-22","maj",2010,19,"5C"
"Dolnośląskie",0,0,0,0,0,"23-31","maj",2010,20,"5D"
"Kujawsko-Pomorskie",0,0,0,0,0,"23-31","maj",2010,20,"5D"
"Lubelskie",0,0,0,0,0,"23-31","maj",2010,20,"5D"
"Lubuskie",0,0,0,0,0,"23-31","maj",2010,20,"5D"
"Łódzkie",0,0,0,0,0,"23-31","maj",2010,20,"5D"
"Małopolskie",0,0,0,0,0,"23-31","maj",2010,20,"5D"
"Mazowieckie",0,0,0,0,0,"23-31","maj",2010,20,"5D"
"Opolskie",0,0,0,0,0,"23-31","maj",2010,20,"5D"
"Podkarpackie",0,0,0,0,0,"23-31","maj",2010,20,"5D"
"Podlaskie",0,0,0,0,0,"23-31","maj",2010,20,"5D"
"Pomorskie",0,0,0,0,0,"23-31","maj",2010,20,"5D"
"Śląskie",0,0,0,0,0,"23-31","maj",2010,20,"5D"
"Świętokrzyskie",0,0,0,0,0,"23-31","maj",2010,20,"5D"
"Warmińsko-Mazurskie",0,0,0,0,0,"23-31","maj",2010,20,"5D"
"Wielkopolskie",0,0,0,0,0,"23-31","maj",2010,20,"5D"
"Zachodniopomorskie",0,0,0,0,0,"23-31","maj",2010,20,"5D"
"Dolnośląskie",0,0,0,0,0,"1-7","czerwiec",2010,21,"6A"
"Kujawsko-Pomorskie",0,0,0,0,0,"1-7","czerwiec",2010,21,"6A"
"Lubelskie",0,0,0,0,0,"1-7","czerwiec",2010,21,"6A"
"Lubuskie",0,0,0,0,0,"1-7","czerwiec",2010,21,"6A"
"Łódzkie",0,0,0,0,0,"1-7","czerwiec",2010,21,"6A"
"Małopolskie",0,0,0,0,0,"1-7","czerwiec",2010,21,"6A"
"Mazowieckie",0,0,0,0,0,"1-7","czerwiec",2010,21,"6A"
"Opolskie",0,0,0,0,0,"1-7","czerwiec",2010,21,"6A"
"Podkarpackie",0,0,0,0,0,"1-7","czerwiec",2010,21,"6A"
"Podlaskie",0,0,0,0,0,"1-7","czerwiec",2010,21,"6A"
"Pomorskie",0,0,0,0,0,"1-7","czerwiec",2010,21,"6A"
"Śląskie",0,0,0,0,0,"1-7","czerwiec",2010,21,"6A"
"Świętokrzyskie",0,0,0,0,0,"1-7","czerwiec",2010,21,"6A"
"Warmińsko-Mazurskie",0,0,0,0,0,"1-7","czerwiec",2010,21,"6A"
"Wielkopolskie",0,0,0,0,0,"1-7","czerwiec",2010,21,"6A"
"Zachodniopomorskie",0,0,0,0,0,"1-7","czerwiec",2010,21,"6A"
"Dolnośląskie",0,0,0,0,0,"8-15","czerwiec",2010,22,"6B"
"Kujawsko-Pomorskie",0,0,0,0,0,"8-15","czerwiec",2010,22,"6B"
"Lubelskie",0,0,0,0,0,"8-15","czerwiec",2010,22,"6B"
