"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","tydz","data"
"Podlaskie",4,0.59,0,0,0,0,4,100,"2010_03B","8_do_15_marca_2010"
"Pomorskie",0,0,0,0,0,0,0,0,"2010_03B","8_do_15_marca_2010"
"Śląskie",3,0.39,0,0,3,100,0,0,"2010_03B","8_do_15_marca_2010"
"Świętokrzyskie",1,11.11,0,0,1,100,0,0,"2010_03B","8_do_15_marca_2010"
"Warmińsko-Mazurskie",0,0,0,0,0,0,0,0,"2010_03B","8_do_15_marca_2010"
"Wielkopolskie",33,0.76,0,0,27,81.8,13,39.4,"2010_03B","8_do_15_marca_2010"
"Zachodniopomorskie",3,0.71,0,0,3,100,0,0,"2010_03B","8_do_15_marca_2010"
"Dolnośląskie",0,0,0,0,0,0,0,0,"2010_03C","16_do_22_marca_2010"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"2010_03C","16_do_22_marca_2010"
"Lubelskie",1,0.51,0,0,1,100,0,0,"2010_03C","16_do_22_marca_2010"
"Lubuskie",0,0,0,0,0,0,0,0,"2010_03C","16_do_22_marca_2010"
"Łódzkie",0,0,0,0,0,0,0,0,"2010_03C","16_do_22_marca_2010"
"Małopolskie",17,3.61,0,0,17,100,0,0,"2010_03C","16_do_22_marca_2010"
"Mazowieckie",0,0,0,0,0,0,0,0,"2010_03C","16_do_22_marca_2010"
"Opolskie",1,0.14,0,0,1,100,0,0,"2010_03C","16_do_22_marca_2010"
"Podkarpackie",0,0,0,0,0,0,0,0,"2010_03C","16_do_22_marca_2010"
"Podlaskie",1,0.25,0,0,1,100,0,0,"2010_03C","16_do_22_marca_2010"
"Pomorskie",0,0,0,0,0,0,0,0,"2010_03C","16_do_22_marca_2010"
"Śląskie",1,0.14,0,0,1,100,0,0,"2010_03C","16_do_22_marca_2010"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2010_03C","16_do_22_marca_2010"
"Warmińsko-Mazurskie",0,0,0,0,0,0,0,0,"2010_03C","16_do_22_marca_2010"
"Wielkopolskie",14,0.52,0,0,13,92.9,1,7.1,"2010_03C","16_do_22_marca_2010"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2010_03C","16_do_22_marca_2010"
"Dolnośląskie",0,0,0,0,0,0,0,0,"2010_03D","23_do_31_marca_2010"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"2010_03D","23_do_31_marca_2010"
"Lubelskie",0,0,0,0,0,0,0,0,"2010_03D","23_do_31_marca_2010"
"Lubuskie",0,0,0,0,0,0,0,0,"2010_03D","23_do_31_marca_2010"
"Łódzkie",0,0,0,0,0,0,0,0,"2010_03D","23_do_31_marca_2010"
"Małopolskie",8,0.6,0,0,8,100,0,0,"2010_03D","23_do_31_marca_2010"
"Mazowieckie",0,0,0,0,0,0,0,0,"2010_03D","23_do_31_marca_2010"
"Opolskie",0,0,0,0,0,0,0,0,"2010_03D","23_do_31_marca_2010"
"Podkarpackie",0,0,0,0,0,0,0,0,"2010_03D","23_do_31_marca_2010"
"Podlaskie",0,0,0,0,0,0,0,0,"2010_03D","23_do_31_marca_2010"
"Pomorskie",0,0,0,0,0,0,0,0,"2010_03D","23_do_31_marca_2010"
"Śląskie",1,0.18,0,0,1,100,0,0,"2010_03D","23_do_31_marca_2010"
"Świętokrzyskie",1,50,0,0,0,0,1,100,"2010_03D","23_do_31_marca_2010"
"Warmińsko-Mazurskie",7,1.41,0,0,7,100,0,0,"2010_03D","23_do_31_marca_2010"
"Wielkopolskie",30,0.94,0,0,21,70,13,43.3,"2010_03D","23_do_31_marca_2010"
"Zachodniopomorskie",4,0.79,0,0,4,100,0,0,"2010_03D","23_do_31_marca_2010"
"Dolnośląskie",0,0,0,0,0,0,0,0,"2010_04A","1_do_7_kwietnia_2010"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"2010_04A","1_do_7_kwietnia_2010"
"Lubelskie",0,0,0,0,0,0,0,0,"2010_04A","1_do_7_kwietnia_2010"
"Lubuskie",0,0,0,0,0,0,0,0,"2010_04A","1_do_7_kwietnia_2010"
"Łódzkie",0,0,0,0,0,0,0,0,"2010_04A","1_do_7_kwietnia_2010"
"Małopolskie",2,0.31,0,0,2,100,0,0,"2010_04A","1_do_7_kwietnia_2010"
"Mazowieckie",1,0.06,0,0,1,100,0,0,"2010_04A","1_do_7_kwietnia_2010"
"Opolskie",0,0,0,0,0,0,0,0,"2010_04A","1_do_7_kwietnia_2010"
"Podkarpackie",0,0,0,0,0,0,0,0,"2010_04A","1_do_7_kwietnia_2010"
"Podlaskie",0,0,0,0,0,0,0,0,"2010_04A","1_do_7_kwietnia_2010"
"Pomorskie",0,0,0,0,0,0,0,0,"2010_04A","1_do_7_kwietnia_2010"
"Śląskie",5,1.08,0,0,5,100,0,0,"2010_04A","1_do_7_kwietnia_2010"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2010_04A","1_do_7_kwietnia_2010"
"Warmińsko-Mazurskie",7,2.03,0,0,7,100,0,0,"2010_04A","1_do_7_kwietnia_2010"
"Wielkopolskie",41,2.91,0,0,27,65.9,15,36.6,"2010_04A","1_do_7_kwietnia_2010"
"Zachodniopomorskie",3,1.23,0,0,3,100,0,0,"2010_04A","1_do_7_kwietnia_2010"
"Dolnośląskie",0,0,0,0,0,0,0,0,"2010_04B","8_do_15_kwietnia_2010"
"Kujawsko-Pomorskie",1,0.24,0,0,1,100,1,100,"2010_04B","8_do_15_kwietnia_2010"
"Lubelskie",0,0,0,0,0,0,0,0,"2010_04B","8_do_15_kwietnia_2010"
"Lubuskie",0,0,0,0,0,0,0,0,"2010_04B","8_do_15_kwietnia_2010"
"Łódzkie",0,0,0,0,0,0,0,0,"2010_04B","8_do_15_kwietnia_2010"
"Małopolskie",2,0.7,0,0,2,100,0,0,"2010_04B","8_do_15_kwietnia_2010"
"Mazowieckie",0,0,0,0,0,0,0,0,"2010_04B","8_do_15_kwietnia_2010"
"Opolskie",0,0,0,0,0,0,0,0,"2010_04B","8_do_15_kwietnia_2010"
