"woj","o_l","o_z","o_z_wsk","l_0_4","z_0_4","l_5_14","z_5_14","l_15_64","z_15_64","l_65","z_65","dni","miesiac","rok","tydz","numer"
"Warmińsko-Mazurskie",1973,17.48,3.13,406,78.35,530,44.53,862,11.34,175,8.87,"8-15","marzec","2022","10","3B"
"Wielkopolskie",14080,50.41,0.62,3233,214.85,3654,117.17,5837,31.67,1356,27.8,"8-15","marzec","2022","10","3B"
"Zachodniopomorskie",981,7.29,1.3,176,29.67,246,18.3,464,5.22,95,3.62,"8-15","marzec","2022","10","3B"
"Dolnośląskie",3997,19.8,2.8,818,86.35,927,46.14,1758,13.3,494,12.3,"16-22","marzec","2022","11","3C"
"Kujawsko-Pomorskie",4907,34.13,-0.35,1191,177.54,1291,86.32,1982,20.75,443,16.64,"16-22","marzec","2022","11","3C"
"Lubelskie",2532,17.34,2.19,617,92.66,615,41.86,1087,11.26,213,7.56,"16-22","marzec","2022","11","3C"
"Lubuskie",913,13,-1.78,259,80.07,265,35.68,338,7.26,51,3.93,"16-22","marzec","2022","11","3C"
"Łódzkie",2730,16.07,1.18,642,83.81,659,39.31,1178,10.71,251,7.08,"16-22","marzec","2022","11","3C"
"Małopolskie",7963,33.37,4.63,2105,163.09,2254,87.49,3063,19.37,541,12.93,"16-22","marzec","2022","11","3C"
"Mazowieckie",16854,44.42,16.07,3629,174.5,4891,116.66,6876,27.98,1458,20.57,"16-22","marzec","2022","11","3C"
"Opolskie",904,13.27,-2.21,258,87.67,223,35.78,360,7.89,63,4.72,"16-22","marzec","2022","11","3C"
"Podkarpackie",1273,8.6,1.61,351,48.73,350,23.05,474,4.75,98,3.78,"16-22","marzec","2022","11","3C"
"Podlaskie",1282,15.66,-0.17,251,63.63,349,43.23,548,10,134,8.89,"16-22","marzec","2022","11","3C"
"Pomorskie",14795,90.09,10.88,4021,440.96,3904,210.53,5711,53.06,1159,40.08,"16-22","marzec","2022","11","3C"
"Śląskie",7440,23.76,0.34,1907,133.34,1928,61.63,2901,14.15,704,11.26,"16-22","marzec","2022","11","3C"
"Świętokrzyskie",1701,19.95,8.56,422,119.35,417,51.29,720,12.83,142,8.13,"16-22","marzec","2022","11","3C"
"Warmińsko-Mazurskie",1584,16.04,-1.44,293,64.62,395,37.92,715,10.75,181,10.48,"16-22","marzec","2022","11","3C"
"Wielkopolskie",12996,53.18,2.77,3156,239.69,3359,123.1,5496,34.08,985,23.08,"16-22","marzec","2022","11","3C"
"Zachodniopomorskie",900,7.64,0.35,145,27.94,203,17.26,465,5.97,87,3.79,"16-22","marzec","2022","11","3C"
"Dolnośląskie",5780,22.27,2.47,1130,92.78,1455,56.33,2484,14.62,711,13.77,"23-31","marzec","2022","12","3D"
"Kujawsko-Pomorskie",6295,34.05,-0.08,1469,170.32,1796,93.4,2446,19.92,584,17.06,"23-31","marzec","2022","12","3D"
"Lubelskie",3859,20.55,3.21,903,105.48,900,47.65,1701,13.71,355,9.8,"23-31","marzec","2022","12","3D"
"Lubuskie",1066,11.81,-1.19,319,76.7,271,28.38,413,6.9,63,3.78,"23-31","marzec","2022","12","3D"
"Łódzkie",3689,16.89,0.82,1029,104.48,937,43.48,1428,10.1,295,6.47,"23-31","marzec","2022","12","3D"
"Małopolskie",9453,30.82,-2.56,2280,137.39,2503,75.57,3951,19.44,719,13.37,"23-31","marzec","2022","12","3D"
"Mazowieckie",23000,47.15,2.73,4982,186.32,6848,127.04,9399,29.74,1771,19.43,"23-31","marzec","2022","12","3D"
"Opolskie",1677,19.14,5.88,400,105.71,409,51.04,694,11.84,174,10.14,"23-31","marzec","2022","12","3D"
"Podkarpackie",1495,7.85,-0.74,417,45.03,446,22.84,493,3.84,139,4.17,"23-31","marzec","2022","12","3D"
"Podlaskie",1544,14.67,-0.99,313,61.71,459,44.22,622,8.83,150,7.74,"23-31","marzec","2022","12","3D"
"Pomorskie",19300,91.41,1.32,5107,435.59,5326,223.39,7474,54,1393,37.46,"23-31","marzec","2022","12","3D"
"Śląskie",10542,26.19,2.43,2617,142.32,2716,67.53,4285,16.26,924,11.49,"23-31","marzec","2022","12","3D"
"Świętokrzyskie",2145,19.57,-0.38,467,102.72,601,57.49,882,12.22,195,8.68,"23-31","marzec","2022","12","3D"
"Warmińsko-Mazurskie",2298,18.1,2.06,499,85.59,608,45.4,916,10.71,275,12.39,"23-31","marzec","2022","12","3D"
"Wielkopolskie",17077,54.35,1.17,3988,235.57,4903,139.76,6687,32.25,1499,27.32,"23-31","marzec","2022","12","3D"
"Zachodniopomorskie",1413,9.33,1.69,302,45.26,345,22.82,620,6.19,146,4.95,"23-31","marzec","2022","12","3D"
