"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","dni","miesiac","rok","tydz","numer"
"Lubelskie",45,1.42,0,0,45,100,0,0,"23-31","marzec",2020,12,"3D"
"Lubuskie",52,5.89,0,0,44,84.6,9,17.3,"23-31","marzec",2020,12,"3D"
"Łódzkie",12,0.27,0,0,11,91.7,1,8.3,"23-31","marzec",2020,12,"3D"
"Małopolskie",11,0.14,0,0,10,90.9,1,9.1,"23-31","marzec",2020,12,"3D"
"Mazowieckie",123,0.73,0,0,121,98.4,2,1.6,"23-31","marzec",2020,12,"3D"
"Opolskie",1,0.08,0,0,1,100,0,0,"23-31","marzec",2020,12,"3D"
"Podkarpackie",18,0.9,0,0,13,72.2,5,27.8,"23-31","marzec",2020,12,"3D"
"Podlaskie",10,0.62,0,0,10,100,0,0,"23-31","marzec",2020,12,"3D"
"Pomorskie",47,0.27,0,0,39,83,8,17,"23-31","marzec",2020,12,"3D"
"Śląskie",30,0.3,1,3.3,28,93.3,2,6.7,"23-31","marzec",2020,12,"3D"
"Świętokrzyskie",5,0.09,1,20,5,100,1,20,"23-31","marzec",2020,12,"3D"
"Warmińsko-Mazurskie",32,1.14,0,0,32,100,0,0,"23-31","marzec",2020,12,"3D"
"Wielkopolskie",41,0.29,0,0,40,97.6,2,4.9,"23-31","marzec",2020,12,"3D"
"Zachodniopomorskie",30,1.75,0,0,28,93.3,15,50,"23-31","marzec",2020,12,"3D"
"Dolnośląskie",5,0.25,0,0,5,100,0,0,"1-7","kwiecień",2020,13,"4A"
"Kujawsko-Pomorskie",9,0.39,0,0,9,100,2,22.2,"1-7","kwiecień",2020,13,"4A"
"Lubelskie",10,0.66,0,0,9,90,1,10,"1-7","kwiecień",2020,13,"4A"
"Lubuskie",27,5.76,0,0,21,77.8,6,22.2,"1-7","kwiecień",2020,13,"4A"
"Łódzkie",10,0.36,0,0,9,90,1,10,"1-7","kwiecień",2020,13,"4A"
"Małopolskie",8,0.3,0,0,5,62.5,3,37.5,"1-7","kwiecień",2020,13,"4A"
"Mazowieckie",29,0.32,1,3.4,28,96.6,0,0,"1-7","kwiecień",2020,13,"4A"
"Opolskie",0,0,0,0,0,0,0,0,"1-7","kwiecień",2020,13,"4A"
"Podkarpackie",9,1.13,0,0,8,88.9,1,11.1,"1-7","kwiecień",2020,13,"4A"
"Podlaskie",0,0,0,0,0,0,0,0,"1-7","kwiecień",2020,13,"4A"
"Pomorskie",8,0.06,0,0,7,87.5,1,12.5,"1-7","kwiecień",2020,13,"4A"
"Śląskie",4,0.07,0,0,4,100,0,0,"1-7","kwiecień",2020,13,"4A"
"Świętokrzyskie",4,0.32,0,0,4,100,0,0,"1-7","kwiecień",2020,13,"4A"
"Warmińsko-Mazurskie",12,1.05,0,0,12,100,0,0,"1-7","kwiecień",2020,13,"4A"
"Wielkopolskie",23,0.29,0,0,22,95.7,1,4.3,"1-7","kwiecień",2020,13,"4A"
"Zachodniopomorskie",10,1.23,0,0,10,100,5,50,"1-7","kwiecień",2020,13,"4A"
"Dolnośląskie",4,0.25,0,0,4,100,0,0,"8-15","kwiecień",2020,14,"4B"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"8-15","kwiecień",2020,14,"4B"
"Lubelskie",33,4.36,0,0,33,100,0,0,"8-15","kwiecień",2020,14,"4B"
"Lubuskie",15,7.54,1,6.7,14,93.3,1,6.7,"8-15","kwiecień",2020,14,"4B"
"Łódzkie",4,0.26,0,0,3,75,1,25,"8-15","kwiecień",2020,14,"4B"
"Małopolskie",5,0.2,0,0,4,80,1,20,"8-15","kwiecień",2020,14,"4B"
"Mazowieckie",33,0.41,3,9.1,25,75.8,5,15.2,"8-15","kwiecień",2020,14,"4B"
"Opolskie",1,0.29,0,0,1,100,0,0,"8-15","kwiecień",2020,14,"4B"
"Podkarpackie",7,1.66,0,0,4,57.1,3,42.9,"8-15","kwiecień",2020,14,"4B"
"Podlaskie",0,0,0,0,0,0,0,0,"8-15","kwiecień",2020,14,"4B"
"Pomorskie",5,0.09,0,0,3,60,2,40,"8-15","kwiecień",2020,14,"4B"
"Śląskie",5,0.11,1,20,5,100,1,20,"8-15","kwiecień",2020,14,"4B"
"Świętokrzyskie",4,0.35,0,0,4,100,1,25,"8-15","kwiecień",2020,14,"4B"
"Warmińsko-Mazurskie",6,0.82,0,0,6,100,0,0,"8-15","kwiecień",2020,14,"4B"
"Wielkopolskie",27,0.48,0,0,27,100,0,0,"8-15","kwiecień",2020,14,"4B"
"Zachodniopomorskie",1,0.22,0,0,0,0,1,100,"8-15","kwiecień",2020,14,"4B"
"Dolnośląskie",2,0.13,0,0,2,100,0,0,"16-22","kwiecień",2020,15,"4C"
"Kujawsko-Pomorskie",2,0.2,0,0,2,100,0,0,"16-22","kwiecień",2020,15,"4C"
"Lubelskie",1,0.14,0,0,1,100,0,0,"16-22","kwiecień",2020,15,"4C"
"Lubuskie",18,11.18,4,22.2,13,72.2,5,27.8,"16-22","kwiecień",2020,15,"4C"
"Łódzkie",6,0.54,0,0,6,100,0,0,"16-22","kwiecień",2020,15,"4C"
"Małopolskie",3,0.13,0,0,0,0,3,100,"16-22","kwiecień",2020,15,"4C"
"Mazowieckie",8,0.19,0,0,6,75,2,25,"16-22","kwiecień",2020,15,"4C"
"Opolskie",0,0,0,0,0,0,0,0,"16-22","kwiecień",2020,15,"4C"
"Podkarpackie",1,0.24,0,0,1,100,0,0,"16-22","kwiecień",2020,15,"4C"
"Podlaskie",1,0.54,0,0,1,100,0,0,"16-22","kwiecień",2020,15,"4C"
"Pomorskie",36,0.95,5,13.9,28,77.8,12,33.3,"16-22","kwiecień",2020,15,"4C"
"Śląskie",31,0.99,0,0,30,96.8,1,3.2,"16-22","kwiecień",2020,15,"4C"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"16-22","kwiecień",2020,15,"4C"
"Warmińsko-Mazurskie",1,0.16,0,0,1,100,0,0,"16-22","kwiecień",2020,15,"4C"
"Wielkopolskie",8,0.2,0,0,8,100,0,0,"16-22","kwiecień",2020,15,"4C"
"Zachodniopomorskie",2,0.88,0,0,2,100,0,0,"16-22","kwiecień",2020,15,"4C"
"Dolnośląskie",1,0.09,0,0,1,100,0,0,"23-30","kwiecień",2020,16,"4D"
"Kujawsko-Pomorskie",2,0.19,0,0,2,100,0,0,"23-30","kwiecień",2020,16,"4D"
"Lubelskie",12,2.87,0,0,12,100,0,0,"23-30","kwiecień",2020,16,"4D"
"Lubuskie",8,5.59,0,0,3,37.5,5,62.5,"23-30","kwiecień",2020,16,"4D"
"Łódzkie",8,1.27,0,0,8,100,0,0,"23-30","kwiecień",2020,16,"4D"
"Małopolskie",0,0,0,0,0,0,0,0,"23-30","kwiecień",2020,16,"4D"
"Mazowieckie",4,0.13,0,0,4,100,0,0,"23-30","kwiecień",2020,16,"4D"
"Opolskie",0,0,0,0,0,0,0,0,"23-30","kwiecień",2020,16,"4D"
"Podkarpackie",1,0.39,0,0,0,0,1,100,"23-30","kwiecień",2020,16,"4D"
"Podlaskie",0,0,0,0,0,0,0,0,"23-30","kwiecień",2020,16,"4D"
"Pomorskie",13,0.47,3,23.1,13,100,0,0,"23-30","kwiecień",2020,16,"4D"
"Śląskie",9,0.41,4,44.4,9,100,0,0,"23-30","kwiecień",2020,16,"4D"
"Świętokrzyskie",2,0.42,0,0,2,100,0,0,"23-30","kwiecień",2020,16,"4D"
"Warmińsko-Mazurskie",0,0,0,0,0,0,0,0,"23-30","kwiecień",2020,16,"4D"
"Wielkopolskie",11,0.26,0,0,11,100,0,0,"23-30","kwiecień",2020,16,"4D"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"23-30","kwiecień",2020,16,"4D"
"Dolnośląskie",1,0.15,0,0,1,100,0,0,"1-7","maj",2020,17,"5A"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"1-7","maj",2020,17,"5A"
"Lubelskie",2,0.71,1,50,1,50,0,0,"1-7","maj",2020,17,"5A"
"Lubuskie",5,5.32,0,0,5,100,0,0,"1-7","maj",2020,17,"5A"
"Łódzkie",11,1.7,0,0,11,100,0,0,"1-7","maj",2020,17,"5A"
"Małopolskie",1,0.14,0,0,1,100,0,0,"1-7","maj",2020,17,"5A"
"Mazowieckie",15,0.32,3,20,12,80,0,0,"1-7","maj",2020,17,"5A"
"Opolskie",0,0,0,0,0,0,0,0,"1-7","maj",2020,17,"5A"
"Podkarpackie",3,1.75,0,0,3,100,0,0,"1-7","maj",2020,17,"5A"
"Podlaskie",1,0.6,0,0,1,100,0,0,"1-7","maj",2020,17,"5A"
"Pomorskie",62,2.92,3,4.8,62,100,4,6.5,"1-7","maj",2020,17,"5A"
"Śląskie",4,0.25,0,0,4,100,0,0,"1-7","maj",2020,17,"5A"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"1-7","maj",2020,17,"5A"
"Warmińsko-Mazurskie",7,3.52,0,0,7,100,0,0,"1-7","maj",2020,17,"5A"
"Wielkopolskie",4,0.25,1,25,4,100,0,0,"1-7","maj",2020,17,"5A"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"1-7","maj",2020,17,"5A"
"Dolnośląskie",2,0.26,0,0,2,100,0,0,"8-15","maj",2020,18,"5B"
"Kujawsko-Pomorskie",1,0.14,0,0,1,100,0,0,"8-15","maj",2020,18,"5B"
"Lubelskie",13,4.39,0,0,13,100,0,0,"8-15","maj",2020,18,"5B"
"Lubuskie",9,9.18,0,0,9,100,2,22.2,"8-15","maj",2020,18,"5B"
"Łódzkie",2,0.4,0,0,2,100,0,0,"8-15","maj",2020,18,"5B"
"Małopolskie",1,0.12,0,0,1,100,0,0,"8-15","maj",2020,18,"5B"
"Mazowieckie",8,0.33,1,12.5,6,75,1,12.5,"8-15","maj",2020,18,"5B"
