"woj","o_l","o_z","o_z_wsk","l_0_4","z_0_4","l_5_14","z_5_14","l_15_64","z_15_64","l_65","z_65","dni","miesiac","rok","tydz","numer"
"Świętokrzyskie",4062,46.9,1.25,783,211.75,1208,147.02,1733,29.92,338,20.15,"1-7","marzec",2020,9,"3A"
"Warmińsko-Mazurskie",6894,69.07,-9.68,1146,241.67,2005,189.95,3080,45.09,663,40.9,"1-7","marzec",2020,9,"3A"
"Wielkopolskie",29087,118.88,2.21,5832,436.91,7588,281.2,12974,79.17,2693,66.55,"1-7","marzec",2020,9,"3A"
"Zachodniopomorskie",3870,32.55,8.42,688,127.35,854,72.08,1895,23.64,433,20.15,"1-7","marzec",2020,9,"3A"
"Dolnośląskie",6160,26.55,-23.94,1144,103.98,1460,64.29,3011,19.44,545,12.56,"8-15","marzec",2020,10,"3B"
"Kujawsko-Pomorskie",9429,56.81,-29.54,1586,201.05,2439,141.53,4678,41.79,726,25.12,"8-15","marzec",2020,10,"3B"
"Lubelskie",5955,35.24,-40.08,864,109.88,1558,91.68,2882,25.46,651,21.06,"8-15","marzec",2020,10,"3B"
"Lubuskie",2265,27.95,-14.1,469,121.58,673,78.81,1004,18.37,119,8.51,"8-15","marzec",2020,10,"3B"
"Łódzkie",8299,42.17,-50.11,1318,146.08,1786,93.07,4041,31.18,1154,29.59,"8-15","marzec",2020,10,"3B"
"Małopolskie",13372,49.09,-24.12,2857,193.77,3492,120.24,5986,32.74,1037,22.66,"8-15","marzec",2020,10,"3B"
"Mazowieckie",22722,52.49,-12.06,3981,166.6,4953,105.48,11584,40.7,2204,28.46,"8-15","marzec",2020,10,"3B"
"Opolskie",1743,22.13,-7.99,320,92.92,396,55.68,839,15.65,188,12.89,"8-15","marzec",2020,10,"3B"
"Podkarpackie",4544,26.7,-26.15,781,93.98,1264,72.25,2095,18.05,404,14.25,"8-15","marzec",2020,10,"3B"
"Podlaskie",4605,48.81,-28.08,835,182.98,1153,125.07,2042,31.89,575,34.77,"8-15","marzec",2020,10,"3B"
"Pomorskie",23051,123.25,-75.56,4744,453.95,5456,261.18,11076,88.93,1775,57.02,"8-15","marzec",2020,10,"3B"
"Śląskie",16295,45.02,-31.17,2968,174.74,4314,121.56,7767,32.21,1246,18.23,"8-15","marzec",2020,10,"3B"
"Świętokrzyskie",5657,57.15,10.25,1128,266.91,1595,169.86,2506,37.85,428,22.33,"8-15","marzec",2020,10,"3B"
"Warmińsko-Mazurskie",5747,50.38,-18.69,935,172.53,1362,112.91,2831,36.26,619,33.41,"8-15","marzec",2020,10,"3B"
"Wielkopolskie",25349,90.65,-28.23,5382,352.8,5691,184.54,12320,65.78,1956,42.29,"8-15","marzec",2020,10,"3B"
"Zachodniopomorskie",3484,25.64,-6.91,436,70.62,853,63,1845,20.14,350,14.25,"8-15","marzec",2020,10,"3B"
"Dolnośląskie",5304,26.13,-0.42,596,61.91,759,38.2,3154,23.27,795,20.94,"16-22","marzec",2020,11,"3C"
"Kujawsko-Pomorskie",5753,39.62,-17.2,825,119.52,871,57.76,3565,36.4,492,19.45,"16-22","marzec",2020,11,"3C"
"Lubelskie",4201,28.41,-6.83,496,72.09,613,41.23,2718,27.44,374,13.83,"16-22","marzec",2020,11,"3C"
"Lubuskie",1186,16.72,-11.22,139,41.18,204,27.3,782,16.35,61,4.99,"16-22","marzec",2020,11,"3C"
"Łódzkie",7133,41.42,-0.75,1069,135.41,1061,63.19,3981,35.1,1022,29.95,"16-22","marzec",2020,11,"3C"
"Małopolskie",10571,44.35,-4.74,1748,135.49,1869,73.55,5976,37.35,978,24.43,"16-22","marzec",2020,11,"3C"
"Mazowieckie",15643,41.3,-11.19,2284,109.24,2875,69.97,9174,36.84,1310,19.33,"16-22","marzec",2020,11,"3C"
"Opolskie",1441,20.91,-1.22,219,72.68,230,36.96,838,17.87,154,12.06,"16-22","marzec",2020,11,"3C"
"Podkarpackie",2700,18.13,-8.57,347,47.72,554,36.19,1450,14.28,349,14.07,"16-22","marzec",2020,11,"3C"
"Podlaskie",2440,29.55,-19.25,401,100.43,381,47.23,1315,23.47,343,23.71,"16-22","marzec",2020,11,"3C"
"Pomorskie",15722,96.07,-27.18,2240,244.96,2332,127.58,10044,92.16,1106,40.61,"16-22","marzec",2020,11,"3C"
"Śląskie",10932,34.52,-10.5,1676,112.77,2116,68.14,6269,29.72,871,14.56,"16-22","marzec",2020,11,"3C"
"Świętokrzyskie",1075,12.41,-44.74,155,41.92,258,31.4,565,9.75,97,5.78,"16-22","marzec",2020,11,"3C"
"Warmińsko-Mazurskie",3787,37.94,-12.44,529,111.56,587,55.61,2153,31.52,518,31.96,"16-22","marzec",2020,11,"3C"
"Wielkopolskie",18442,75.37,-15.28,2245,168.19,2719,100.76,11938,72.84,1540,38.05,"16-22","marzec",2020,11,"3C"
"Zachodniopomorskie",2951,24.82,-0.82,424,78.48,649,54.78,1634,20.39,244,11.35,"16-22","marzec",2020,11,"3C"
"Dolnośląskie",7006,26.84,0.71,995,80.38,971,38.01,4345,24.93,695,14.24,"23-31","marzec",2020,12,"3D"
"Kujawsko-Pomorskie",5367,28.75,-10.87,614,69.19,653,33.68,3604,28.62,496,15.25,"23-31","marzec",2020,12,"3D"
