"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","tydz","data"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2020_09C","16_do_22_września_2020"
"Dolnośląskie",11,0.35,0,0,9,81.8,2,18.2,"2020_09D","23_do_30_września_2020"
"Kujawsko-Pomorskie",8,0.2,0,0,8,100,0,0,"2020_09D","23_do_30_września_2020"
"Lubelskie",0,0,0,0,0,0,0,0,"2020_09D","23_do_30_września_2020"
"Lubuskie",1,0.15,0,0,1,100,0,0,"2020_09D","23_do_30_września_2020"
"Łódzkie",6,0.42,0,0,6,100,0,0,"2020_09D","23_do_30_września_2020"
"Małopolskie",8,0.19,0,0,8,100,0,0,"2020_09D","23_do_30_września_2020"
"Mazowieckie",19,0.15,1,5.3,18,94.7,0,0,"2020_09D","23_do_30_września_2020"
"Opolskie",0,0,0,0,0,0,0,0,"2020_09D","23_do_30_września_2020"
"Podkarpackie",4,0.74,0,0,4,100,0,0,"2020_09D","23_do_30_września_2020"
"Podlaskie",0,0,0,0,0,0,0,0,"2020_09D","23_do_30_września_2020"
"Pomorskie",20,0.19,0,0,20,100,0,0,"2020_09D","23_do_30_września_2020"
"Śląskie",2,0.04,0,0,2,100,0,0,"2020_09D","23_do_30_września_2020"
"Świętokrzyskie",1,0.15,0,0,1,100,0,0,"2020_09D","23_do_30_września_2020"
"Warmińsko-Mazurskie",5,0.39,0,0,5,100,0,0,"2020_09D","23_do_30_września_2020"
"Wielkopolskie",7,0.06,0,0,7,100,0,0,"2020_09D","23_do_30_września_2020"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2020_09D","23_do_30_września_2020"
